,num,del_flag,id,full_name
,,,,
Макс Степан,10318,True,0,
Володимир Зеленськ,9353,True,1,
Денис Шмигал,6713,True,2,
Віктор Ляшк,3951,True,3,
Дмитр Кулеб,3478,True,4,
Вітал Кличк,3102,True,5,
Дональд Трамп,2724,True,6,
Джо Байден,2087,True,7,
Дмитр Разумк,1915,True,8,
Володимир Путін,1903,True,9,
Олекс Даніл,1438,True,10,
Леонід Кравчук,1339,True,11,
Борис Джонсон,1332,True,12,
Юр Вітренк,1276,True,13,
Дмитр Пєск,1170,True,14,
Ірин Венедікт,1165,True,15,
Наталк Діденк,1115,False,16,Наталка Діденко
Віктор Медведчук,1112,True,17,
Олександр Ткаченк,1084,True,18,
Олександр Лукашенк,1042,True,19,
Петр Порошенк,1020,True,20,
Олекс Навальн,1017,True,21,
Зеленськ,1007,True,22,
Владисл Крикл,977,True,23,
Олександр Корнієнк,949,True,24,
Серг Марченк,889,True,25,
Олег Татар,863,True,26,
Олекс Резнік,863,True,27,
Тимошенк,849,True,28,
Андр Єрмак,789,True,29,
Олег Ніколенк,786,True,30,
Ігор Терех,742,True,31,
Арсен Авак,731,True,32,
Ангел Меркел,727,True,33,
Серг Шкарлет,725,True,34,
Антон Геращенк,709,True,35,
Серг Стерненк,691,True,36,
Степан,688,True,37,
Ілон Маск,673,True,38,
Жозеп Боррел,657,True,39,
Юр Бутус,653,False,40,Юрій Бутусов
Олекс Арестович,625,True,41,
Джо Байд,610,True,42,
Євген Кравчук,589,True,43,
Юл Мендел,580,True,44,
Олекс Гончаренк,558,True,45,
Людмил Деніс,544,True,46,
Михайл Подоляк,537,True,47,
Зеленск,510,True,48,
Денис Малюськ,497,True,49,
Марин Лазебн,496,True,50,
Давид Арахам,492,True,51,
Тарас Кремін,490,True,52,
Ольг Голубовськ,481,False,53,Ольга Голубовська
Арт Ситник,481,True,54,
Ігор Петрашк,479,True,55,
Павл Фукс,474,True,56,
Михайл Радуцьк,469,True,57,
Світлан Тихановськ,445,True,58,
Макс Микит,439,True,59,
Євген Єнін,429,True,60,
Данил Гетманц,422,True,61,
Геннад Кернес,414,True,62,
Олег Уруськ,412,True,63,
Урсул фон дер,403,True,64,
Ненс Пелос,401,True,65,
Нікол Пашинян,397,True,66,
Ігор Жовкв,395,True,67,
Федір Веніславськ,392,True,68,
Андр Таран,391,True,69,
Метт Хенкок,389,True,70,
Євген Комаровськ,388,False,71,Євген Комаровський
Серг Лавр,386,True,72,
Руслан Хомчак,382,True,73,
Ентон Блінкен,381,True,74,
Майк Помпе,379,True,75,
Олександр Усик,378,True,76,
Юл Тимошенк,374,True,77,
Олександр Дубінськ,371,True,78,
Михайл Федор,370,True,79,
Олександр Качур,370,True,80,
Андр Садов,365,True,81,
Ігор Кузін,363,True,82,
Ксен Мішин,345,True,83,
Май Санд,341,True,84,
Ол Поляк,331,True,85,
Борис Кушнірук,330,False,86,Борис Кушнірук
Іван Бакан,330,True,87,
Васил Мокан,329,True,88,
Володимир Жмак,326,True,89,
Ольг Стефанішин,326,True,90,
Юр Бойк,321,True,91,
Серг Лещенк,317,False,92,Сергій Лещенко
