name,num,id
Володимир Зеленськ,18507.0,0.0
Макс Степан,14881.0,1.0
Денис Шмигал,9968.0,2.0
Дональд Трамп,5823.0,3.0
Джо Байден,5740.0,4.0
Віктор Ляшк,5365.0,5.0
Володимир Путін,4928.0,6.0
Вітал Кличк,4777.0,7.0
Дмитр Кулеб,4720.0,8.0
Олекс Навальн,3834.0,9.0
Українські Новин,3215.0,10.0
Віктор Медведчук,3108.0,11.0
Дмитр Разумк,2790.0,12.0
Олекс Даніл,2783.0,13.0
Петр Порошенк,2281.0,14.0
Леонід Кравчук,2166.0,15.0
Олександр Лукашенк,2116.0,16.0
Юр Вітренк,2058.0,17.0
Ірин Венедікт,1940.0,18.0
Дмитр Пєск,1765.0,19.0
Андр Єрмак,1660.0,20.0
Олександр Корнієнк,1658.0,21.0
Борис Джонсон,1583.0,22.0
Наталк Діденк,1541.0,23.0
Олександр Ткаченк,1530.0,24.0
Олег Татар,1503.0,25.0
Серг Стерненк,1457.0,26.0
Антон Геращенк,1387.0,27.0
Владисл Крикл,1333.0,28.0
Олег Ніколенк,1308.0,29.0
Арсен Авак,1300.0,30.0
Серг Шкарлет,1277.0,31.0
Ілон Маск,1260.0,32.0
Геннад Кернес,1254.0,33.0
Ангел Меркел,1194.0,34.0
Тарас Козак,1189.0,35.0
Серг Марченк,1148.0,36.0
Олекс Резнік,1140.0,37.0
Олекс Арестович,1124.0,38.0
Степан,1067.0,39.0
Юл Мендел,1057.0,40.0
Олександр Дубінськ,1048.0,41.0
Ігор Терех,1005.0,42.0
Юр Бутус,991.0,43.0
Жозеп Боррел,974.0,44.0
Ентон Блінкен,1235.0,45.0
Тимошенк,933.0,46.0
Андр Садов,925.0,47.0
Олександр Усик,876.0,48.0
Олександр Тупицьк,851.0,49.0
Євген Кравчук,828.0,50.0
Меган Маркл,823.0,51.0
Кабмин,792.0,52.0
Давид Арахам,770.0,53.0
Олекс Гончаренк,769.0,54.0
Світлан Тихановськ,767.0,55.0
Марин Лазебн,763.0,56.0
Ол Поляк,763.0,57.0
Михайл Радуцьк,759.0,58.0
Тін Карол,753.0,59.0
Макс Микит,750.0,60.0
Руслан Хомчак,749.0,61.0
Серг Лавр,747.0,62.0
Денис Малюськ,727.0,63.0
Юл Тимошенк,706.0,64.0
Оксан Марченк,696.0,65.0
Людмил Деніс,694.0,66.0
Ольг Голубовськ,689.0,67.0
Ігор Петрашк,672.0,68.0
Май Санд,664.0,69.0
Михайл Подоляк,656.0,70.0
Ксен Мішин,653.0,71.0
Обєднан,652.0,72.0
Арт Ситник,646.0,73.0
Іван Бакан,635.0,74.0
Євген Комаровськ,629.0,75.0
Премєр,623.0,76.0
Віктор Янукович,616.0,77.0
Васил Ломаченк,612.0,78.0
Павл Шеремет,612.0,79.0
Олег Уруськ,610.0,80.0
Джозеф Байден,605.0,81.0
Андр Таран,600.0,82.0
Серг Гармаш,600.0,83.0
Урсул фон дер,588.0,84.0
Еммануел Макрон,585.0,85.0
Михайл Федор,584.0,86.0
Руслан Марцінк,582.0,87.0
Тарас Кремін,565.0,88.0
Кабмін,548.0,89.0
Нікол Пашинян,541.0,90.0
Данил Гетманц,538.0,91.0
Павл Фукс,537.0,92.0
Руслан Стефанчук,535.0,93.0
Серг Лещенк,530.0,94.0
Ненс Пелос,529.0,95.0
Ігор Коломойськ,527.0,96.0
Олександр Качур,521.0,97.0
Порошенк,519.0,98.0
Федір Веніславськ,517.0,99.0
Минздра,506.0,100.0
Джен Псак,505.0,101.0
Мірч Луческ,502.0,102.0
Андр Шевченк,498.0,103.0
Наст Каменськ,498.0,104.0
Медведчук,496.0,105.0
Юр Бойк,493.0,106.0
Андр Антоненк,490.0,107.0
Майк Пенс,485.0,108.0
Майк Помпе,484.0,109.0
Євген Єнін,481.0,110.0
Дмитр Гордон,477.0,111.0
Володимир Жмак,473.0,112.0
Анатол Шар,471.0,113.0
Игор Клименк,463.0,114.0
Ольг Стефанішин,463.0,115.0
Яросл Железняк,462.0,116.0
Андр Деркач,455.0,117.0
Олекс Черниш,453.0,118.0
Ігор Жовкв,451.0,119.0
Ле Нікітюк,445.0,120.0
Теофім Лопес,441.0,121.0
Арс Авак,436.0,122.0
Кирилл Тимошенк,428.0,123.0
Борис Кушнірук,427.0,124.0
Єнс Столтенберг,425.0,125.0
Вітал Шабунін,420.0,126.0
Метт Хенкок,415.0,127.0
Васил Мокан,414.0,128.0
Юл Кузьменк,410.0,129.0
Шарл Мішел,409.0,130.0
Олександр Еллерт,408.0,131.0
Ентон Джош,406.0,132.0
Олег Рубан,399.0,133.0
Олег Пендзин,395.0,134.0
Кирил Шевченк,392.0,135.0
Русла Бортник,391.0,136.0
Ірин Верещук,390.0,137.0
Ігор Кузін,385.0,138.0
Миха Подоляк,383.0,139.0
Савік Шустер,375.0,140.0
Мінфін,362.0,141.0
